"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000113198",608.068422733619,1.31808245180152,0.392976608055467,3.35409900941349,0.00079623866628705,0.00656190507486893
"ENSMUSG00000061603",6.73034411450253,-1.54801959915057,0.600185241522821,-2.57923636246512,0.00990190088603074,0.0409865799251837
"ENSMUSG00000004791",24.5594227637973,1.70546527843367,0.354166711742093,4.81543076153245,1.46882687995553e-06,4.88988896006249e-05
"ENSMUSG00000096942",9773.95098836035,1.28635377314298,0.406687499202091,3.16300298304415,0.00156150731578426,0.0107104268311722
"ENSMUSG00000064427",2.92303285981653,-4.07773223691667,1.26186305947043,-3.23151724453206,0.0012313489375497,0.00900423910583222
"ENSMUSG00000001270",3946.02816494829,2.12194846719219,0.188096792312749,11.281151800101,1.62602933867651e-29,4.39379851430612e-26
"ENSMUSG00000113769",8.90091616772942,1.75428022776105,0.567740420703966,3.08993364535475,0.00200201216409201,0.0128333141611896
"ENSMUSG00000021290",5804.11752904578,1.23865288341756,0.39336896697712,3.14883223487635,0.00163924271690099,0.0111192734024105
"ENSMUSG00000109975",26.0493718479811,1.29395064876934,0.42482339103289,3.04585546860616,0.00232019336618972,0.0142857440349696
"ENSMUSG00000020649",119.618020453359,2.1566273565788,0.239253233701088,9.01399459985226,1.98684489392151e-19,1.11710354160737e-16
"ENSMUSG00000021040",416.447213239379,1.34804484383972,0.383350331469576,3.51648279178991,0.000437305005258193,0.00426036082879363
"ENSMUSG00000036655",44.8352705626486,1.39071199870341,0.243858255491411,5.70295229866596,1.17749942378348e-08,8.21853994372466e-07
"ENSMUSG00000112546",9.51032901094181,2.03380676886016,0.512131900438882,3.97125577828142,7.14947683948156e-05,0.00106172091495192
"ENSMUSG00000021176",4.98777944315994,2.04633485855793,0.726996525874308,2.81477941878326,0.00488107242538723,0.0245482701570108
"ENSMUSG00000056553",5.75752632434342,2.12151168938897,0.670111946839391,3.16590638235173,0.00154600541576259,0.0106510196121343
"ENSMUSG00000021187",73.7968090266793,-1.36677879828156,0.294386294616116,-4.64280716622309,3.43707108434187e-06,9.71644634331896e-05
"ENSMUSG00000113902",2035.84667572362,1.12811411179271,0.375347033934309,3.00552291560174,0.00265124617766801,0.0157279817943078
"ENSMUSG00000002565",374.635799797535,1.04547727778211,0.190007599969876,5.50229189752334,3.74885600233591e-08,2.20583123090934e-06
"ENSMUSG00000064215",1521.96065484843,1.00826672051671,0.252144784320516,3.99876096280875,6.36749480262255e-05,0.00097135691556208
