"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000109199",3.85226153979299,-3.99025040952551,1.35563658531975,-2.94345140337471,0.00324574776399291,0.0230759327330455
"ENSMUSG00000098019",46.2242377995883,1.18358475581835,0.353902664374651,3.34437933071162,0.000824668958342649,0.00821462814262478
"ENSMUSG00000097075",7.86262793384256,2.04675508448924,0.623614886463726,3.28208182472292,0.00103043699022937,0.00973862628104782
"ENSMUSG00000030681",1003.1843993129,1.05105746296475,0.184163929703684,5.70718416280473,1.14860485159206e-08,1.40902489703484e-06
"ENSMUSG00000078794",143.198054692552,1.17130736666237,0.291734970988406,4.01497072049315,5.94531749763834e-05,0.00109693477295504
"ENSMUSG00000030677",45.5783037779744,1.65033642441226,0.306587107594779,5.38292832128328,7.32837264204177e-08,6.00540852824159e-06
"ENSMUSG00000063594",21.9844910889082,2.06067719754693,0.467643348125466,4.40651450685034,1.05047276067701e-05,0.000294028448859993
"ENSMUSG00000030604",111.95547203857,-1.21879318143112,0.180149344219732,-6.76545999492806,1.32886311251882e-11,5.07500344537613e-09
"ENSMUSG00000074243",61.0550443302738,-1.02149481153549,0.26096869388183,-3.91424272521376,9.06883743388357e-05,0.00152714091929482
"ENSMUSG00000108892",4.86024547411767,-3.17696791743792,1.15191942208122,-2.7579775603557,0.00581601902292488,0.0350363217389948
"ENSMUSG00000000486",198.950932187066,1.30769545096387,0.297084636688033,4.40176060782663,1.07375993502066e-05,0.000298543610504851
"ENSMUSG00000054716",1699.34324212288,1.07435836957341,0.295777043529002,3.63232506740527,0.000280878981160184,0.00363740976178073
"ENSMUSG00000030739",991.168321595756,1.24297983447347,0.386606481508687,3.21510345512803,0.00130397517982885,0.0116631734931135
"ENSMUSG00000108563",4.03981922042525,-3.25587728685124,1.19320083858488,-2.72869175210492,0.00635861101020631,0.0373924013531627
"ENSMUSG00000036111",67.9946677328024,1.50462933193663,0.272346421509966,5.52468919398513,3.30069388459964e-08,3.1365889632949e-06
"ENSMUSG00000084174",21.939179182645,1.43267620894833,0.480320425775005,2.98275095554531,0.00285670342557662,0.0210187328379122
"ENSMUSG00000047586",1978.64660243753,1.35368097698466,0.245443228552509,5.5152508584895,3.48282810115295e-08,3.26370016645541e-06
"ENSMUSG00000034825",21.0670492714536,-1.73118202829038,0.626952746808272,-2.76126396622964,0.0057578118814513,0.0347684577244796
"ENSMUSG00000098009",33.5600064935123,-1.52530746828309,0.499805426800028,-3.05180253453585,0.00227471689901542,0.0176882615263047
"ENSMUSG00000057176",213.363132005973,1.09995359743462,0.234462198449705,4.69138993282354,2.71355241408349e-06,0.000104024648510348
"ENSMUSG00000109904",17.9259395249824,-2.13361697298419,0.600680573488412,-3.55199929405632,0.000382315886169363,0.00455611552253225
"ENSMUSG00000108318",31.5475801415367,-1.37544539504357,0.487269819280914,-2.82275926112842,0.00476123084426399,0.0303534089822827
"ENSMUSG00000019539",764.076279368976,1.29980681493701,0.265925394447287,4.88786269411611,1.01936582327853e-06,4.88933261350256e-05
"ENSMUSG00000030782",305.763715411669,1.04907512180695,0.205438412810571,5.10651882213612,3.28147938139957e-07,1.97679833806276e-05
"ENSMUSG00000030590",260.491222571649,1.00332732530726,0.212414826070954,4.72343359390606,2.31895702798748e-06,9.16087741178518e-05
"ENSMUSG00000038943",26.7363531143479,1.07655890518103,0.397530060863721,2.7081194887299,0.00676656555978925,0.0391786939495838
"ENSMUSG00000108540",4.35400213718279,2.53614041191434,0.858159903114299,2.95532383033812,0.00312341020090883,0.0224025008249378
"ENSMUSG00000063802",1097.7705769961,1.014906268186,0.237470302425712,4.2738239595391,1.92148764406316e-05,0.00046746191590724
"ENSMUSG00000074283",20.1962090491525,-1.58902825838558,0.581217308166205,-2.73396582665289,0.0062576538612979,0.0369489999435621
"ENSMUSG00000002210",493.008609442801,1.08230450788116,0.181986794644726,5.94715957272628,2.72835407469594e-09,4.24804729430158e-07
"ENSMUSG00000030431",1830.95591083206,1.29271488612824,0.308953115421472,4.18417818627506,2.86199563958497e-05,0.000628304270508019
"ENSMUSG00000030432",194.080374495121,1.29862168252083,0.292758488386203,4.43581222761235,9.17257772182051e-06,0.000264475990979158
"ENSMUSG00000035279",37.0285889780635,1.18809871970388,0.410072579020939,2.89728887149807,0.00376402993676759,0.0255772783773888
"ENSMUSG00000066721",14.2469885756052,2.58309373225772,0.523366033908448,4.93553949798274,7.99295017591843e-07,4.03454624715124e-05
"ENSMUSG00000064254",2427.04028475846,1.2028236657764,0.19153950071186,6.27976820084674,3.39078188516882e-10,7.33324008976781e-08
"ENSMUSG00000099689",62.171190256948,-1.02191937304179,0.260062898529762,-3.92950851051459,8.51196642109631e-05,0.00145515804332272
"ENSMUSG00000055633",148.093046690668,1.13760446368706,0.187158429305796,6.07829670246026,1.21465850986758e-09,2.13790459984606e-07
"ENSMUSG00000037020",35.7579084210965,1.82176077916666,0.359508698814201,5.06736216724528,4.03366380049409e-07,2.31290053784138e-05
