"","corPvalueStudent.gene.signf.corr..nSamples.","symbol"
"ENSMUSG00000020018",2.09636867433942e-05,"Snrpf"
"ENSMUSG00000033701",2.10979120807674e-05,"Acbd6"
"ENSMUSG00000004665",2.11591125872986e-05,"Cnn2"
"ENSMUSG00000028865",2.12054680439526e-05,"Cd164l2"
"ENSMUSG00000115223",2.14415656885036e-05,NA
"ENSMUSG00000021701",2.14720192613612e-05,"Plk2"
"ENSMUSG00000027351",2.14961381653495e-05,"Spred1"
"ENSMUSG00000098923",2.15193726382979e-05,"Tmem185b"
"ENSMUSG00000034278",2.1557217355595e-05,"Dnajc17"
"ENSMUSG00000006920",2.15755823616463e-05,"Ezh1"
"ENSMUSG00000047036",2.16068792214333e-05,"Zfp445"
"ENSMUSG00000027104",2.17621884965673e-05,"Atf2"
"ENSMUSG00000036111",2.18298139561329e-05,"Lmo1"
"ENSMUSG00000061898",2.19417449599253e-05,"Rbak"
"ENSMUSG00000000120",2.20977936734674e-05,"Ngfr"
"ENSMUSG00000043572",2.21260093278903e-05,"Pars2"
"ENSMUSG00000029762",2.21716994365849e-05,"Akr1b8"
"ENSMUSG00000024381",2.24304338947466e-05,"Bin1"
"ENSMUSG00000036570",2.2635604560012e-05,"Fxyd1"
"ENSMUSG00000029716",2.26798865497484e-05,"Tfr2"
"ENSMUSG00000070025",2.29905213508347e-05,"Gm10284"
"ENSMUSG00000022760",2.29961880446734e-05,"Thap7"
"ENSMUSG00000002733",2.30012425985704e-05,"Plekha3"
"ENSMUSG00000028245",2.31838043442382e-05,"Nsmaf"
"ENSMUSG00000029713",2.32356103318524e-05,"Gnb2"
"ENSMUSG00000022217",2.3523910985148e-05,"Emc9"
"ENSMUSG00000020241",2.35877762475927e-05,"Col6a2"
"ENSMUSG00000045409",2.36364167630619e-05,"Trim39"
"ENSMUSG00000054065",2.37784255808841e-05,"Pkp3"
"ENSMUSG00000060862",2.40999937603793e-05,"Zbtb40"
"ENSMUSG00000004151",2.41006938820337e-05,"Etv1"
"ENSMUSG00000020271",2.41827717060159e-05,"Fbxw11"
"ENSMUSG00000063445",2.4195900208116e-05,"Nmral1"
"ENSMUSG00000107853",2.42505072238456e-05,NA
"ENSMUSG00000029798",2.4316240196748e-05,"Herc6"
"ENSMUSG00000057531",2.43365666853598e-05,"Dtnbp1"
"ENSMUSG00000067851",2.43913309954141e-05,"Arfgef1"
"ENSMUSG00000024767",2.46873385203834e-05,"Otub1"
"ENSMUSG00000052396",2.46947558433529e-05,"Mogat2"
"ENSMUSG00000030116",2.47944894131337e-05,"Mfap5"
"ENSMUSG00000018160",2.48105187665897e-05,"Med1"
"ENSMUSG00000025612",2.48983810841789e-05,"Bach1"
"ENSMUSG00000003762",2.50666754887273e-05,"Coq8b"
"ENSMUSG00000038845",2.52026811618532e-05,"Phb"
"ENSMUSG00000091561",2.52790303799267e-05,NA
"ENSMUSG00000047230",2.54850861864595e-05,"Cldn2"
"ENSMUSG00000008036",2.55136862919376e-05,"Ap2s1"
"ENSMUSG00000028743",2.55184775301887e-05,"Akr7a5"
"ENSMUSG00000046280",2.55666499908046e-05,"She"
"ENSMUSG00000049516",2.5584211567317e-05,"Spty2d1"
"ENSMUSG00000101431",2.56122479231567e-05,"Gm7901"
"ENSMUSG00000054675",2.56994927009742e-05,"Tmem119"
"ENSMUSG00000052131",2.589392783304e-05,"Akr1b7"
"ENSMUSG00000046985",2.59363725548498e-05,"Tapt1"
"ENSMUSG00000046719",2.59737290752078e-05,"Nxph3"
"ENSMUSG00000057666",2.60285191579547e-05,"Gapdh"
"ENSMUSG00000041794",2.62040467367073e-05,"Myrip"
"ENSMUSG00000014633",2.63288986564425e-05,"Cmc2"
"ENSMUSG00000079215",2.63652594612489e-05,"Zfp664"
"ENSMUSG00000021959",2.64215028833591e-05,"Lats2"
"ENSMUSG00000082179",2.64791763401198e-05,NA
"ENSMUSG00000031753",2.68437553775678e-05,"Cog4"
"ENSMUSG00000055044",2.69496453206328e-05,"Pdlim1"
"ENSMUSG00000029545",2.70769319508455e-05,"Acads"
"ENSMUSG00000063171",2.71615313204369e-05,"Rps4l"
"ENSMUSG00000006378",2.71632807724743e-05,"Gcat"
"ENSMUSG00000021550",2.74708572740317e-05,"2210016F16Rik"
"ENSMUSG00000064247",2.74895855440625e-05,"Plcxd1"
"ENSMUSG00000031953",2.74986019592003e-05,"Tmem170"
"ENSMUSG00000068604",2.75412886984044e-05,"Gm8225"
"ENSMUSG00000009741",2.77687578100049e-05,"Ubp1"
"ENSMUSG00000060181",2.78226683249848e-05,"Slc35e3"
"ENSMUSG00000033669",2.79632433124659e-05,"Zfp7"
"ENSMUSG00000053038",2.79715833838119e-05,NA
"ENSMUSG00000060572",2.81043418605101e-05,"Mfap2"
"ENSMUSG00000071660",2.81599864664866e-05,"Ttc9c"
"ENSMUSG00000036613",2.82843942588012e-05,"Eipr1"
"ENSMUSG00000031969",2.82965642632466e-05,"Acad8"
"ENSMUSG00000020834",2.83160169649523e-05,"Dhrs13"
"ENSMUSG00000033233",2.83373495367463e-05,"Trim45"
"ENSMUSG00000032041",2.83531700979185e-05,"Tirap"
"ENSMUSG00000073155",2.84077010678257e-05,"Stmp1"
"ENSMUSG00000027660",2.84527266881247e-05,"Skil"
"ENSMUSG00000020523",2.86971734897388e-05,"Fam114a2"
"ENSMUSG00000039476",2.87116245517222e-05,"Prrx2"
"ENSMUSG00000020321",2.87491238841041e-05,"Mdh1"
"ENSMUSG00000064068",2.89138642464176e-05,"Mtx1"
"ENSMUSG00000011305",2.90190706797649e-05,"Plin5"
"ENSMUSG00000026860",2.91966953303423e-05,"Sh3glb2"
"ENSMUSG00000037280",2.93577759133681e-05,"Galnt6"
"ENSMUSG00000079509",2.94082454364335e-05,"Zfx"
"ENSMUSG00000027947",2.94974479454465e-05,"Il6ra"
"ENSMUSG00000028517",2.95656155205288e-05,"Plpp3"
"ENSMUSG00000000001",2.95767796653888e-05,"Gnai3"
"ENSMUSG00000026798",2.97004046266835e-05,"Coq4"
"ENSMUSG00000053411",3.00486921825258e-05,"Cbx7"
"ENSMUSG00000003680",3.00974505176145e-05,"Taf6l"
"ENSMUSG00000070283",3.0126705640283e-05,"Ndufaf3"
"ENSMUSG00000073412",3.04439646432654e-05,"Lst1"
"ENSMUSG00000063524",3.05691344945197e-05,"Eno1"
"ENSMUSG00000036427",3.06024868923583e-05,"Gpi1"
"ENSMUSG00000039347",3.06061233361041e-05,"Atp6v0e2"
"ENSMUSG00000002059",3.06355243493519e-05,"Rab34"
"ENSMUSG00000000751",3.06478391346035e-05,"Rpa1"
"ENSMUSG00000038984",3.10006566051283e-05,"Tspyl5"
"ENSMUSG00000061286",3.10970203551176e-05,"Exosc5"
"ENSMUSG00000078695",3.13104419555096e-05,"Cisd3"
