"","corPvalueStudent.gene.signf.corr..nSamples.","symbol"
"ENSMUSG00000042298",0.782702451998788,"Ttc19"
"ENSMUSG00000052825",0.782837767710556,NA
"ENSMUSG00000060923",0.783466240765314,"Acyp2"
"ENSMUSG00000079467",0.783589548672399,"Gm14966"
"ENSMUSG00000045374",0.78407344113459,"Wdr81"
"ENSMUSG00000036611",0.784129343052393,"Eepd1"
"ENSMUSG00000025727",0.784235864595483,"A930017K11Rik"
"ENSMUSG00000023330",0.784330281319949,"Dtwd1"
"ENSMUSG00000043683",0.784366425794393,"Fem1a"
"ENSMUSG00000039990",0.784915412102416,"Edrf1"
"ENSMUSG00000038148",0.784974263374735,"Cldn16"
"ENSMUSG00000042063",0.785372438502056,"Zfp386"
"ENSMUSG00000082575",0.785425016676852,"Eef2-ps2"
"ENSMUSG00000022070",0.7855313790862,"Bora"
"ENSMUSG00000089993",0.785548972120176,NA
"ENSMUSG00000022106",0.785581728190271,"Rcbtb2"
"ENSMUSG00000112143",0.785631093100415,NA
"ENSMUSG00000015966",0.785938669389944,"Il17rb"
"ENSMUSG00000114981",0.785952681886393,NA
"ENSMUSG00000040370",0.786339411747641,"Etfrf1"
"ENSMUSG00000022434",0.786351961996647,"Fam118a"
"ENSMUSG00000069171",0.786529110544613,"Nr2f1"
"ENSMUSG00000013150",0.786853046377788,"Gfod2"
"ENSMUSG00000033576",0.787442069366164,"Apol6"
"ENSMUSG00000029309",0.788320921683847,"Sparcl1"
"ENSMUSG00000085307",0.788379102330339,NA
"ENSMUSG00000027202",0.78859696196719,"Slc12a1"
"ENSMUSG00000030000",0.788733495335144,"Add2"
"ENSMUSG00000028863",0.788757679155736,"Meaf6"
"ENSMUSG00000086468",0.788897814417822,"Etaa1os"
"ENSMUSG00000034936",0.789156429585836,"Arl4d"
"ENSMUSG00000051457",0.789178550833483,"Spn"
"ENSMUSG00000097320",0.789182820668942,NA
"ENSMUSG00000051076",0.789307426366406,"Vtcn1"
"ENSMUSG00000007476",0.789581605358782,"Lrrc8a"
"ENSMUSG00000029432",0.789646139949304,"Nipsnap2"
"ENSMUSG00000002496",0.789742840129388,"Tsc2"
"ENSMUSG00000069520",0.7898801288314,"Tmem19"
"ENSMUSG00000063558",0.7900596092164,"Aox1"
"ENSMUSG00000037072",0.790313436933233,"Selenof"
"ENSMUSG00000097503",0.790322939729227,"3110045C21Rik"
"ENSMUSG00000000194",0.790569828147098,"Gpr107"
"ENSMUSG00000051000",0.790590052479665,"Fhip1a"
"ENSMUSG00000004105",0.79064481635899,"Angptl2"
"ENSMUSG00000033066",0.790833289352018,"Gas7"
"ENSMUSG00000029463",0.791056884014724,"Fam216a"
"ENSMUSG00000097789",0.791081092961767,"Ctxnd1"
"ENSMUSG00000039960",0.791202203359564,"Rhou"
"ENSMUSG00000049300",0.79127338883218,"Prmt6"
"ENSMUSG00000027931",0.791556899131008,"Npr1"
"ENSMUSG00000027091",0.791571015309291,"Zc3h15"
"ENSMUSG00000049353",0.79202273065737,"Rd3"
"ENSMUSG00000042505",0.792060270763778,"Sdhaf3"
"ENSMUSG00000024169",0.792083102741773,"Ift140"
"ENSMUSG00000040356",0.792278525520226,"Skic2"
"ENSMUSG00000054717",0.792433469521375,"Hmgb2"
"ENSMUSG00000020135",0.79266045631702,"Apc2"
"ENSMUSG00000082185",0.792930495317579,NA
"ENSMUSG00000032417",0.792988327351742,"Rwdd2a"
"ENSMUSG00000078519",0.793011683042584,NA
"ENSMUSG00000042229",0.793215350557072,"Rabif"
"ENSMUSG00000034329",0.79342215631912,"Brip1"
"ENSMUSG00000007216",0.793479570706215,"Zfp775"
"ENSMUSG00000025213",0.793837789037286,"Kazald1"
"ENSMUSG00000016534",0.793921230251676,"Lamp2"
"ENSMUSG00000034035",0.794006227675908,"Ccdc17"
"ENSMUSG00000030359",0.794114688224237,"Pzp"
"ENSMUSG00000027082",0.79451736603471,"Tfpi"
"ENSMUSG00000031996",0.794723885098002,"Aplp2"
"ENSMUSG00000030257",0.795413248635998,"Srgap3"
"ENSMUSG00000034868",0.795713689929288,"Myl12b"
"ENSMUSG00000042564",0.795771078259435,"Fam227a"
"ENSMUSG00000044807",0.795974166683907,"Zfp354c"
"ENSMUSG00000052949",0.79615265176667,"Rnf157"
"ENSMUSG00000004897",0.796593528402934,"Hdgf"
"ENSMUSG00000033777",0.796819757116257,"Tlr13"
"ENSMUSG00000021595",0.796824158231536,"Nsun2"
"ENSMUSG00000015942",0.796885837257162,"Gtf2ird2"
"ENSMUSG00000040010",0.796940227750809,"Slc7a5"
"ENSMUSG00000055538",0.797070315728424,"Zcchc24"
"ENSMUSG00000095865",0.797082981520164,NA
"ENSMUSG00000055963",0.797256845255013,"Triqk"
"ENSMUSG00000021916",0.797276809315791,"Glt8d1"
"ENSMUSG00000026594",0.79730594560656,"Ralgps2"
"ENSMUSG00000032551",0.797453839658812,"1110059G10Rik"
"ENSMUSG00000020283",0.797513440850172,"Pex13"
"ENSMUSG00000030342",0.797529637966079,"Cd9"
"ENSMUSG00000083307",0.797597780997952,"AA414768"
"ENSMUSG00000030301",0.797697946804234,"Ccdc91"
"ENSMUSG00000051627",0.79789290329492,"H1f4"
"ENSMUSG00000109274",0.798724818685416,NA
"ENSMUSG00000086212",0.798733661836155,NA
"ENSMUSG00000033088",0.798861589361593,"Triobp"
"ENSMUSG00000031548",0.798994160067153,"Sfrp1"
"ENSMUSG00000039934",0.799198183649923,"Gsap"
"ENSMUSG00000045917",0.799307277067705,"Tmem268"
"ENSMUSG00000043144",0.79978776540744,"Aqp6"
"ENSMUSG00000020250",0.79987027697789,"Txnrd1"
"ENSMUSG00000029821",0.800082845845361,"Gsdme"
"ENSMUSG00000107741",0.800123441570545,NA
"ENSMUSG00000070695",0.800222930487045,"Cntnap5a"
"ENSMUSG00000112550",0.800381064398034,NA
"ENSMUSG00000031657",0.800438802081544,"Heatr3"
"ENSMUSG00000043068",0.800477616586075,"Fam89a"
"ENSMUSG00000031024",0.80101816755822,"Dennd2b"
"ENSMUSG00000097055",0.801043745214229,"Gm4419"
"ENSMUSG00000083258",0.801058771755569,"Gm5939"
"ENSMUSG00000110537",0.801189138089803,NA
"ENSMUSG00000094463",0.801195799827082,"Gm8546"
"ENSMUSG00000043257",0.801710522625822,"Pigv"
"ENSMUSG00000023235",0.801948617260732,"Ccl25"
"ENSMUSG00000041817",0.802688112111709,"Fam169a"
"ENSMUSG00000086429",0.802781914388985,"Gt(ROSA)26Sor"
"ENSMUSG00000118502",0.802851584731391,NA
"ENSMUSG00000043439",0.803155661288604,"Epop"
"ENSMUSG00000039653",0.803763931894505,"Baat"
"ENSMUSG00000033161",0.803821247251192,"Atp1a1"
"ENSMUSG00000005057",0.803856635433787,"Sh2b2"
"ENSMUSG00000097277",0.803903040683541,"2900076A07Rik"
"ENSMUSG00000030768",0.803960520776626,"Disp1"
"ENSMUSG00000036206",0.804181324661203,"Sh3bp4"
"ENSMUSG00000046668",0.804189547904243,"Cxxc5"
"ENSMUSG00000022285",0.8042596206507,"Ywhaz"
"ENSMUSG00000024982",0.80446649498052,"Zdhhc6"
"ENSMUSG00000071172",0.804503964429899,"Srsf3"
"ENSMUSG00000021303",0.804660571057677,"Gng4"
"ENSMUSG00000022656",0.804686723694914,"Nectin3"
"ENSMUSG00000109311",0.804799983857731,"AI314278"
"ENSMUSG00000019792",0.804885477748994,"Trmt11"
"ENSMUSG00000035184",0.804941689736262,"Fam124a"
"ENSMUSG00000040734",0.805146797196209,"Ppp1r13l"
"ENSMUSG00000006154",0.805219787111928,"Eps8l1"
"ENSMUSG00000020918",0.805460857938225,"Kat2a"
"ENSMUSG00000020782",0.805573172231217,"Llgl2"
"ENSMUSG00000024350",0.8055747697999,"Dnajc18"
"ENSMUSG00000039382",0.805799563299382,"Wdr45"
"ENSMUSG00000030187",0.806000484223482,"Klra2"
"ENSMUSG00000074639",0.806239433824162,"Rdh16f2"
"ENSMUSG00000033720",0.806531512723375,"Sfxn5"
"ENSMUSG00000038351",0.806574269913246,"Sgsm2"
"ENSMUSG00000024442",0.806645237313313,"Dele1"
"ENSMUSG00000038390",0.806794267411351,"Gpr162"
"ENSMUSG00000101320",0.807035769981235,NA
"ENSMUSG00000038160",0.807225402622565,"Atg5"
"ENSMUSG00000039976",0.807268549533571,"Tbc1d16"
"ENSMUSG00000084304",0.807291486044944,NA
"ENSMUSG00000071379",0.807368440393338,"Hpcal1"
"ENSMUSG00000027358",0.807382029945795,"Bmp2"
"ENSMUSG00000019874",0.807523941130844,"Fabp7"
"ENSMUSG00000090381",0.807808658128715,NA
"ENSMUSG00000026068",0.807941147642882,"Il18rap"
"ENSMUSG00000024426",0.808047469250647,"Atat1"
"ENSMUSG00000058301",0.808105390710871,"Upf1"
"ENSMUSG00000026083",0.808195835322118,"Eif5b"
"ENSMUSG00000048040",0.80825702599923,"Arxes2"
"ENSMUSG00000027479",0.808367993251507,"Mapre1"
"ENSMUSG00000056770",0.808638243998597,"Setd3"
"ENSMUSG00000071568",0.808767470455603,NA
"ENSMUSG00000072941",0.809016201326636,"Sod3"
"ENSMUSG00000016831",0.809233752435876,"Tox4"
"ENSMUSG00000024587",0.809238266275236,"Nars"
"ENSMUSG00000073968",0.809404852672336,"Trim68"
"ENSMUSG00000025766",0.80964364697665,"D3Ertd751e"
"ENSMUSG00000079450",0.809854796719133,"Cldn34c1"
"ENSMUSG00000024507",0.810007349361342,"Hsd17b4"
"ENSMUSG00000025377",0.810901293059484,"Tepsin"
"ENSMUSG00000037979",0.811055349411621,"Ccdc92"
"ENSMUSG00000107597",0.81171136518647,NA
"ENSMUSG00000022773",0.811852575657645,"Ypel1"
"ENSMUSG00000034981",0.811928459932098,"Parm1"
"ENSMUSG00000029376",0.812248108853996,"Mthfd2l"
"ENSMUSG00000038301",0.812432783741814,"Snx10"
"ENSMUSG00000030022",0.812540806695526,"Adamts9"
"ENSMUSG00000046440",0.812582198308105,NA
"ENSMUSG00000069089",0.812695809675631,"Cdk7"
"ENSMUSG00000049232",0.812946130158672,"Tigd2"
"ENSMUSG00000085683",0.813081780785071,"Tmem238l"
"ENSMUSG00000026090",0.813231458006131,"Cracdl"
"ENSMUSG00000067219",0.813351751918916,"Nipal1"
"ENSMUSG00000111877",0.813670358276477,NA
"ENSMUSG00000005968",0.813969223908744,"Tuft1"
"ENSMUSG00000093587",0.814045948800971,NA
"ENSMUSG00000063884",0.81421183306848,"Ptcd3"
"ENSMUSG00000029843",0.814474155795008,"Slc13a4"
"ENSMUSG00000034889",0.814526328818076,"Cactin"
"ENSMUSG00000018581",0.814575516865003,"Dnah11"
"ENSMUSG00000038607",0.814683134422122,"Gng10"
"ENSMUSG00000038010",0.814840760827972,"Ccdc138"
"ENSMUSG00000041698",0.814863321079409,"Slco1a1"
"ENSMUSG00000001494",0.81495576995705,"Sost"
"ENSMUSG00000070348",0.815200197325833,"Ccnd1"
"ENSMUSG00000024349",0.81525229211878,"Sting1"
"ENSMUSG00000022858",0.8153527072849,"Tra2b"
"ENSMUSG00000002812",0.815911344810606,"Flii"
"ENSMUSG00000041762",0.816270828395959,"Gpr155"
"ENSMUSG00000038888",0.816290281631701,"Ctu1"
"ENSMUSG00000092626",0.816446702688291,NA
"ENSMUSG00000090761",0.816592748776763,NA
"ENSMUSG00000040471",0.816708522163682,"Ggt6"
"ENSMUSG00000024500",0.816869975782228,"Ppp2r2b"
"ENSMUSG00000035367",0.817011310293319,"Rmi1"
"ENSMUSG00000021597",0.817055159407995,"Slf1"
"ENSMUSG00000035064",0.81711043505405,"Eef2k"
"ENSMUSG00000029131",0.817355470812941,"Dnajb6"
"ENSMUSG00000074284",0.817358554834506,NA
"ENSMUSG00000023963",0.81743927602457,"Cyp39a1"
"ENSMUSG00000028618",0.817465655324474,"Tmem59"
"ENSMUSG00000082420",0.817738166517941,NA
"ENSMUSG00000108477",0.818054723747763,NA
"ENSMUSG00000008540",0.818129080414439,"Mgst1"
"ENSMUSG00000024824",0.819352189186742,"Rad9a"
"ENSMUSG00000022336",0.819484398389468,"Eif3e"
"ENSMUSG00000072774",0.819527341462727,"Zfp951"
"ENSMUSG00000026558",0.820043452087577,"Uck2"
"ENSMUSG00000029710",0.820306836515964,"Ephb4"
"ENSMUSG00000026356",0.820377111614029,"Dars"
"ENSMUSG00000035601",0.820406907355851,"Trmt10b"
"ENSMUSG00000038074",0.82058840214031,"Fkbp14"
"ENSMUSG00000113504",0.820741032036949,NA
"ENSMUSG00000042712",0.820877084167283,"Tceal9"
"ENSMUSG00000029641",0.820951075973089,"Rasl11a"
"ENSMUSG00000018537",0.821130518186686,"Pcgf2"
"ENSMUSG00000024339",0.82126829138802,"Tap2"
"ENSMUSG00000066361",0.821594891696378,"Serpina3c"
"ENSMUSG00000048175",0.821726047148112,"Asb8"
"ENSMUSG00000028750",0.822068411943399,"Pla2g2c"
"ENSMUSG00000038628",0.822395985286405,"Polr3k"
"ENSMUSG00000063281",0.822550639494785,"Zfp35"
"ENSMUSG00000103548",0.822566610221515,NA
"ENSMUSG00000043008",0.822571752673348,"Klhl6"
"ENSMUSG00000025630",0.82314064589713,"Hprt"
"ENSMUSG00000116536",0.823390383209237,NA
"ENSMUSG00000027937",0.823391552727131,"Jtb"
"ENSMUSG00000021998",0.823441237499748,"Lcp1"
"ENSMUSG00000055805",0.823448603859875,"Fmnl1"
"ENSMUSG00000015733",0.823652020160459,"Capza2"
"ENSMUSG00000038612",0.823865250303162,"Mcl1"
"ENSMUSG00000060647",0.823898454769118,NA
"ENSMUSG00000028780",0.824110807658413,"Sema3c"
"ENSMUSG00000029074",0.824312912960506,"Ttll10"
"ENSMUSG00000063145",0.824873673426399,"Bbs5"
"ENSMUSG00000035713",0.824904825743531,"Usp35"
"ENSMUSG00000081669",0.82494457118967,NA
"ENSMUSG00000022678",0.825631429763985,"Nde1"
"ENSMUSG00000019312",0.825709306042136,"Grb7"
"ENSMUSG00000049235",0.826734617998756,"Gm7324"
"ENSMUSG00000042851",0.82681197624156,"Zc3h6"
"ENSMUSG00000060441",0.827182216675235,"Trim5"
"ENSMUSG00000050071",0.827312562548299,"Bex1"
"ENSMUSG00000083836",0.827350489128506,NA
"ENSMUSG00000027330",0.827429792073207,"Cdc25b"
"ENSMUSG00000115222",0.827487200575006,NA
"ENSMUSG00000063684",0.828211130523872,NA
"ENSMUSG00000006310",0.828457253181246,"Zbtb32"
"ENSMUSG00000035085",0.828480311898035,"1700020L24Rik"
"ENSMUSG00000006720",0.829123826152779,"Zfp184"
"ENSMUSG00000030057",0.829274492898078,"Cnbp"
"ENSMUSG00000074865",0.829282262898973,"Zfp934"
"ENSMUSG00000022469",0.829350449310003,"Rapgef3"
"ENSMUSG00000112515",0.829588985217312,NA
"ENSMUSG00000051705",0.82969238733533,"Senp8"
"ENSMUSG00000021747",0.829827005490116,"Cfap20dc"
"ENSMUSG00000022899",0.829838795653929,"Slc15a2"
"ENSMUSG00000022244",0.829843988654413,"Amacr"
"ENSMUSG00000041653",0.829909728468074,"Pnpla3"
"ENSMUSG00000023009",0.830129948790606,"Nckap5l"
"ENSMUSG00000034485",0.830134512881913,"Uaca"
"ENSMUSG00000058756",0.830304227778516,"Thra"
"ENSMUSG00000034795",0.830330724156097,"Ccdc122"
"ENSMUSG00000096433",0.830566215649951,"Zfp994"
"ENSMUSG00000031983",0.830654904030556,"2310022B05Rik"
"ENSMUSG00000033453",0.831018563939014,"Adamts15"
"ENSMUSG00000112028",0.831029288513928,"1700113B09Rik"
"ENSMUSG00000078716",0.831174088392399,"Tmem8b"
"ENSMUSG00000042203",0.831326175991139,"Tbc1d22b"
"ENSMUSG00000040061",0.831481707519494,"Plcb2"
"ENSMUSG00000029513",0.831532957377527,"Prkab1"
"ENSMUSG00000050382",0.831771659253778,"Kif7"
"ENSMUSG00000029093",0.831995060088946,"Sorcs2"
"ENSMUSG00000038525",0.832153386326209,"Armc10"
"ENSMUSG00000031671",0.83237016995157,"Setd6"
"ENSMUSG00000051359",0.832845908027778,"Ncald"
"ENSMUSG00000065979",0.832959068330939,"Cpped1"
"ENSMUSG00000022793",0.833042137149491,"B4galt4"
"ENSMUSG00000031209",0.833127077919944,"Heph"
"ENSMUSG00000040828",0.833478284430773,"Catsperd"
"ENSMUSG00000085945",0.834284918766646,NA
"ENSMUSG00000074766",0.835071001329263,"Ism1"
"ENSMUSG00000028165",0.83518432804852,"Cisd2"
"ENSMUSG00000085956",0.83565103990724,NA
"ENSMUSG00000024726",0.835708774125169,"Carnmt1"
"ENSMUSG00000043342",0.836012645389279,"Hoxd9"
"ENSMUSG00000099170",0.836107047081738,"5730403I07Rik"
"ENSMUSG00000025473",0.836190957592509,"Adam8"
"ENSMUSG00000034271",0.836554429942799,"Jdp2"
"ENSMUSG00000036285",0.836590792225855,"Noa1"
"ENSMUSG00000020738",0.836835777236248,"Sumo2"
"ENSMUSG00000029518",0.83710723582681,"Rab35"
"ENSMUSG00000058655",0.837338149118334,"Eif4b"
"ENSMUSG00000032187",0.837527485119907,"Smarca4"
"ENSMUSG00000038721",0.837532206815067,"Hoxb7"
"ENSMUSG00000037706",0.838094500829826,"Cd81"
"ENSMUSG00000027562",0.838181499038905,"Car2"
"ENSMUSG00000019261",0.838398026106309,"Map1s"
"ENSMUSG00000032656",0.838540705037979,"Marchf3"
"ENSMUSG00000022685",0.838759900567178,"Parn"
"ENSMUSG00000083878",0.838821216599543,"Gm12034"
"ENSMUSG00000020100",0.838907304989767,"Slc29a3"
"ENSMUSG00000054364",0.839465939537983,"Rhob"
"ENSMUSG00000040187",0.839673301606137,"Bmal2"
"ENSMUSG00000037572",0.839816156876568,"Wdhd1"
"ENSMUSG00000113936",0.839971290210923,"Gm8784"
"ENSMUSG00000030138",0.840002154685097,"Bms1"
"ENSMUSG00000052305",0.84013324191605,"Hbb-b1"
"ENSMUSG00000076928",0.840424723346469,NA
"ENSMUSG00000041293",0.840478907820614,"Adgrf1"
"ENSMUSG00000081121",0.840904682958418,"Gm12791"
"ENSMUSG00000048677",0.840933402663871,"Tpcn2"
"ENSMUSG00000031090",0.841232699054203,"Nadsyn1"
"ENSMUSG00000039684",0.841293552710594,"Gm5422"
"ENSMUSG00000108170",0.841827977041413,NA
"ENSMUSG00000021608",0.84219706344818,"Lpcat1"
"ENSMUSG00000028419",0.84260402183242,"Chmp5"
"ENSMUSG00000117165",0.843240355321549,NA
"ENSMUSG00000075273",0.843372080521867,"Ttc30b"
"ENSMUSG00000045662",0.84382862122592,"Henmt1"
"ENSMUSG00000046562",0.84398505757426,"Unc119b"
"ENSMUSG00000022843",0.844212713389312,"Clcn2"
"ENSMUSG00000025793",0.844482827057984,"Hgs"
"ENSMUSG00000027219",0.844766757592123,"Slc28a2"
"ENSMUSG00000031264",0.845064794351267,"Btk"
"ENSMUSG00000015023",0.845194934142378,"Ddx19a"
"ENSMUSG00000090015",0.845456438320184,"Gm15446"
"ENSMUSG00000020875",0.845544315790846,"Hoxb9"
"ENSMUSG00000053931",0.845690380463636,"Cnn3"
"ENSMUSG00000070814",0.845819992095674,"Zswim9"
"ENSMUSG00000079042",0.84597537996159,"Apela"
"ENSMUSG00000099779",0.846053001495424,NA
"ENSMUSG00000092200",0.846967092954364,"Tnxa"
"ENSMUSG00000053552",0.847017082431934,"Ebf4"
"ENSMUSG00000039485",0.847225027558889,"Tspyl4"
"ENSMUSG00000031065",0.84765503199025,"Cdk16"
"ENSMUSG00000040969",0.848374643244326,"Arhgef38"
"ENSMUSG00000027510",0.848450346037948,"Rbm38"
"ENSMUSG00000044155",0.848698084226622,"Lsm8"
"ENSMUSG00000038524",0.848787403845166,"Fchsd1"
"ENSMUSG00000032553",0.848989291764316,"Srprb"
"ENSMUSG00000029221",0.849442057260904,"Slc30a9"
"ENSMUSG00000072875",0.849900518945297,"Gpr27"
"ENSMUSG00000086119",0.849901050910065,NA
"ENSMUSG00000053550",0.84998493050926,"Shisa7"
"ENSMUSG00000073728",0.850255315439483,"Tmem51os1"
"ENSMUSG00000003435",0.850789292256158,"Supt5"
"ENSMUSG00000039994",0.850990171990449,"Timeless"
"ENSMUSG00000078963",0.851170139428946,"Hsbp1l1"
"ENSMUSG00000027377",0.851904053464066,"Mall"
"ENSMUSG00000025429",0.851970799577558,"Pstpip2"
"ENSMUSG00000114613",0.852113537142042,"Gm10732"
"ENSMUSG00000112614",0.85240383368386,"Gm9030"
"ENSMUSG00000019326",0.852654132980112,"Aoc3"
"ENSMUSG00000036528",0.853033004802781,"Ppfibp2"
"ENSMUSG00000020904",0.853083679930565,"Cfap52"
"ENSMUSG00000043398",0.85309621799789,"Gpr135"
"ENSMUSG00000029269",0.853221316186744,"Sult1b1"
"ENSMUSG00000023120",0.853639503174854,"Ldc1"
"ENSMUSG00000029330",0.853757501971002,"Cds1"
"ENSMUSG00000080708",0.85405424142486,NA
"ENSMUSG00000082674",0.854163991688832,"Gm11914"
"ENSMUSG00000004730",0.854581324456406,"Adgre1"
"ENSMUSG00000111291",0.854976274556693,NA
"ENSMUSG00000074282",0.855044279502661,"Zfp94"
"ENSMUSG00000022261",0.855048900199145,"Sdc2"
"ENSMUSG00000024300",0.855167873689045,"Myo1f"
"ENSMUSG00000040028",0.855168734724326,"Elavl1"
"ENSMUSG00000113361",0.855259003605017,NA
"ENSMUSG00000045312",0.855372712614779,"Lhfpl2"
"ENSMUSG00000042515",0.855478448821373,"Pwwp3b"
"ENSMUSG00000066000",0.855563291871067,"Zfp979"
"ENSMUSG00000047528",0.855595152055771,"Flacc1"
"ENSMUSG00000092164",0.856214003811884,"Rergl"
"ENSMUSG00000050106",0.85623108697392,"Tmc8"
"ENSMUSG00000029723",0.85624793695613,"Spacdr"
"ENSMUSG00000048521",0.856339055375299,"Cxcr6"
"ENSMUSG00000045838",0.856434695287997,"Ccdc9b"
"ENSMUSG00000037606",0.856541126202927,"Osbpl5"
"ENSMUSG00000027199",0.856563665281019,"Gatm"
"ENSMUSG00000073468",0.85681207186403,"Sft2d1"
"ENSMUSG00000039231",0.85689453420922,"Suv39h1"
"ENSMUSG00000063052",0.85728139426882,"Lrrc40"
"ENSMUSG00000029860",0.857301812091912,"Zyx"
"ENSMUSG00000025613",0.85759320401577,"Cct8"
"ENSMUSG00000036019",0.857691154592944,"Tmtc2"
"ENSMUSG00000042724",0.857785396492808,"Map3k9"
"ENSMUSG00000041870",0.857856349942151,"Ankrd13a"
"ENSMUSG00000073073",0.857882018325652,"Gm8098"
"ENSMUSG00000031790",0.857887530303396,"Mmp15"
"ENSMUSG00000013033",0.858006233527579,"Adgrl1"
"ENSMUSG00000006906",0.858064681623104,"Stambp"
"ENSMUSG00000032557",0.858151687344519,"Uba5"
"ENSMUSG00000027425",0.858263959429594,"Kat14"
"ENSMUSG00000050973",0.858571031186978,"Gdpgp1"
"ENSMUSG00000064105",0.8587171577303,"Cnnm2"
"ENSMUSG00000020183",0.858759328944437,"Cpm"
"ENSMUSG00000015085",0.858800281355433,"Entpd2"
"ENSMUSG00000000567",0.858858476877649,"Sox9"
"ENSMUSG00000001518",0.858907922314223,"Itfg2"
"ENSMUSG00000031485",0.859160648390939,"Plpbp"
"ENSMUSG00000024583",0.859244921813203,"Txnl1"
"ENSMUSG00000032076",0.859380160430209,"Cadm1"
"ENSMUSG00000019789",0.859508306370472,"Hey2"
"ENSMUSG00000062169",0.8597481073425,"Cnih4"
"ENSMUSG00000041220",0.859788016459108,"Elovl6"
"ENSMUSG00000032435",0.86004176519979,"Dync1li1"
"ENSMUSG00000021666",0.86027471020364,"Gfm2"
"ENSMUSG00000112773",0.860283847742825,NA
"ENSMUSG00000024927",0.860762487534661,"Rela"
"ENSMUSG00000040774",0.860923189870087,"Cept1"
"ENSMUSG00000102615",0.860981011931363,NA
"ENSMUSG00000054408",0.861010437355797,"Spcs3"
"ENSMUSG00000040710",0.861566595740867,"St8sia4"
"ENSMUSG00000000915",0.861643328204544,"Hip1r"
"ENSMUSG00000026917",0.861652432817305,"Wdr5"
"ENSMUSG00000023007",0.861701331190379,"Prpf40b"
"ENSMUSG00000041037",0.861750638733494,"Irgq"
"ENSMUSG00000091119",0.86215502195234,"Ccdc152"
"ENSMUSG00000040432",0.862166049730155,"Ltb4r2"
"ENSMUSG00000040896",0.862171879605436,"Kcnd3"
"ENSMUSG00000054662",0.862237527516842,"Ano9"
"ENSMUSG00000031373",0.862512012674242,"Car5b"
"ENSMUSG00000060703",0.862623785844971,"Cd302"
"ENSMUSG00000044254",0.862782900544231,"Pcsk9"
"ENSMUSG00000026188",0.862924689575511,"Tmem169"
"ENSMUSG00000039899",0.863037234968601,"Fgl2"
"ENSMUSG00000039092",0.863201175145306,"Sptlc3"
"ENSMUSG00000067288",0.863433947692643,"Rps28"
"ENSMUSG00000029462",0.863530880452517,"Vps29"
"ENSMUSG00000024304",0.863611044235057,"Cdh2"
"ENSMUSG00000079139",0.863802193982139,"Gm4204"
"ENSMUSG00000009013",0.86404361683855,"Dynll1"
"ENSMUSG00000036180",0.864134575146128,"Gatad2a"
"ENSMUSG00000046999",0.864775337614003,"1110032F04Rik"
"ENSMUSG00000050370",0.865543398609275,"Ch25h"
"ENSMUSG00000027860",0.865820916457834,"Vangl1"
"ENSMUSG00000010554",0.865951454038516,"Mettl16"
"ENSMUSG00000024084",0.86651074150516,"Qpct"
"ENSMUSG00000048100",0.866618755471496,"Taf13"
"ENSMUSG00000068747",0.866875530802789,"Sort1"
"ENSMUSG00000023979",0.867279505885439,"Guca1b"
"ENSMUSG00000057156",0.867511163943464,"Homez"
"ENSMUSG00000026603",0.867686835520452,"Smyd2"
"ENSMUSG00000107881",0.867760494533315,NA
"ENSMUSG00000034855",0.867762284338711,"Cxcl10"
"ENSMUSG00000020873",0.867782225941553,"Slc35b1"
"ENSMUSG00000032965",0.867962402863459,"Ift57"
"ENSMUSG00000030741",0.868209213007912,"Spns1"
"ENSMUSG00000024330",0.868237040024644,"Col11a2"
"ENSMUSG00000019970",0.868539721121018,"Sgk1"
"ENSMUSG00000033377",0.868636995058205,"Palmd"
"ENSMUSG00000020340",0.868673729962551,"Cyfip2"
"ENSMUSG00000020451",0.869527967965928,"Limk2"
"ENSMUSG00000028307",0.869537338761266,"Aldob"
"ENSMUSG00000052852",0.869574601959728,"Reep1"
"ENSMUSG00000012428",0.869594788433307,"Steap4"
"ENSMUSG00000096780",0.869726227138335,NA
"ENSMUSG00000052214",0.869749787701134,"Opa3"
"ENSMUSG00000008496",0.8701488841286,"Pou2f2"
"ENSMUSG00000060073",0.870243170704379,"Psma3"
"ENSMUSG00000018362",0.870525579793278,"Kpna2"
"ENSMUSG00000007591",0.871045504785855,"Tssk4"
"ENSMUSG00002076726",0.871496611355991,NA
"ENSMUSG00000042050",0.87153233775692,"Dync2i1"
"ENSMUSG00000029447",0.872128867861335,"Cct6a"
"ENSMUSG00000005846",0.872360604434891,"Rsl1d1"
"ENSMUSG00000020109",0.872633985658635,"Dnajb12"
"ENSMUSG00000117929",0.872668861990279,NA
"ENSMUSG00000027422",0.872683808123959,"Rrbp1"
"ENSMUSG00000029516",0.872688974027366,"Cit"
"ENSMUSG00000086670",0.872734789692828,NA
"ENSMUSG00000087444",0.872750507533146,"Gm5475"
"ENSMUSG00000059182",0.873063993370385,"Skap2"
"ENSMUSG00000027167",0.873122007123148,"Elp4"
"ENSMUSG00000074406",0.873539285453902,"Zfp628"
"ENSMUSG00000031273",0.873590108330609,"Col4a6"
"ENSMUSG00000020910",0.874228402668718,"Adprm"
"ENSMUSG00000114999",0.874443992985635,NA
"ENSMUSG00000096403",0.874600815056679,NA
"ENSMUSG00000090031",0.874948188285893,NA
"ENSMUSG00000020805",0.875000874173035,"Slc13a5"
"ENSMUSG00000029561",0.87517162755199,"Oasl2"
